ID,Name,Category
21364,死亡执行者的胸甲,T2.5
21365,攻击者的护足,T2.5
21366,攻击者的王冠,T2.5
21367,攻击者的护肩,T2.5
21368,攻击者的护腿,T2.5
21370,攻击者的护甲,T2.5
21372,风暴召唤者的王冠,T2.5
21373,风暴召唤者的护足,T2.5
21374,风暴召唤者的护甲,T2.5
21375,风暴召唤者的护腿,T2.5
21376,风暴召唤者的护肩,T2.5
21387,复仇者的皇冠,T2.5
21388,复仇者的护胫,T2.5
21389,复仇者的胸甲,T2.5
21390,复仇者的腿铠,T2.5
21391,复仇者的护肩,T2.5
