ID,Name,Category,Description
6050,冰霜防护药水,A-属性,吸收675-1125冰霜伤害，持续1小时
6051,神圣防护药水,A-属性,吸收300-500神圣伤害，持续1小时
6052,自然防护药水,A-属性,吸收675-1125自然伤害，持续1小时
9036,抗魔药水,A-属性,所有抗性+50，持续3分钟
9088,阿尔萨斯的礼物,A-属性,使近战攻击者感染疾病，自身暗抗+10，持续30分钟
9154,侦测亡灵药剂,A-属性,在小地图显示亡灵，持续1小时
9179,强效聪颖药剂,A-属性,智力+25，持续1小时
9197,梦境药剂,A-属性,探索周围区域，持续2分钟
9233,侦测恶魔药剂,A-属性,在小地图显示恶魔，持续1小时
11243,视灵药剂,A-属性,看穿灵魂世界，持续15分钟
13445,超强防御药剂,A-属性,护甲+450，持续1小时
13456,强效冰霜防护药水,A-属性,吸收1950-3250冰霜伤害，持续1小时
13457,强效火焰防护药水,A-属性,吸收1950-3250火焰伤害，持续1小时
13458,强效自然防护药水,A-属性,吸收1950-3250自然伤害，持续1小时
13459,强效暗影防护药水,A-属性,吸收1950-3250暗影伤害，持续1小时
13461,强效奥术防护药水,A-属性,吸收1950-3250奥术伤害，持续1小时
13813,神圣太阳果汁,A-属性,精神+10，持续10分钟（银色黎明）
13931,夜鳞鱼汤,A-属性,每5秒回复8点法力，持续10分钟(烹饪)
18045,嫩狼肉排,A-属性,耐力+12，精神+12，持续15分钟(烹饪)
18254,洛恩塔姆薯块,A-属性,智力+10，持续10分钟(厄运烹饪)
18269,戈多克绿酒,A-属性,耐力+10，持续15分钟(酒类buff)
18294,强力水下呼吸药剂,A-属性,水下呼吸，持续1小时
20007,魔血药水,A-属性,每5秒回复12法力，持续1小时
20709,光明美味朗姆酒,A-属性,耐力+5，持续15分钟(酒类buff)
21023,迪尔格的超美味奇美拉肉片,A-属性,耐力+25，持续15分钟(顶级烹饪)
21114,黑暗美味朗姆酒,A-属性,耐力+10，持续15分钟(酒类buff)
21151,黑标美味朗姆酒,A-属性,耐力+15，持续15分钟(酒类buff)
21217,美味鼠尾鱼,A-属性,每5秒回复6点法力，持续15分钟(烹饪)
22192,血藻闪避药剂,A-属性,闪避提高3%，持续30分钟
22193,血藻抗性药剂,A-属性,所有抗性+15，持续30分钟
22236,快乐奶油,A-属性,防御技能+13，持续1小时(情人节)
3824,暗影之油,A-武器,武器涂层：几率造成暗影伤害，持续30分钟
3829,冰霜之油,A-武器,武器涂层：几率降低目标速度，持续30分钟
12404,致密磨刀石,A-武器,武器涂层：武器伤害+8，持续30分钟
12643,致密平衡石,A-武器,武器涂层：武器伤害+8(钝器)，持续30分钟
18262,元素磨刀石,A-武器,武器涂层：暴击率+2%，持续30分钟
20748,卓越法力之油,A-武器,法术涂层：每5秒回14蓝，治疗+24，持续30分钟
20749,卓越巫师之油,A-武器,法术涂层：法伤+36，暴击+1%，持续30分钟
23122,神圣磨刀石,A-武器,武器涂层：对亡灵攻击强度+100，持续1小时
23123,神圣巫师之油,A-武器,法术涂层：对亡灵法伤+60，持续1小时
22239,甜蜜惊喜,A-治疗,治疗效果+44，持续1小时(情人节)
1710,强效治疗药水,A-红蓝,瞬发恢复700-900生命
3928,超强治疗药水,A-红蓝,瞬发恢复1050-1750生命
5513,法力翡翠,A-红蓝,恢复法力(法师制造)
6149,强效法力药水,A-红蓝,瞬发恢复700-900法力
8007,法力黄水晶,A-红蓝,恢复法力(法师制造)
8008,法力红宝石,A-红蓝,恢复法力(法师制造)
9144,野葡萄药水,A-红蓝,瞬发恢复1-1500生命与法力
11951,鞭根块茎,A-红蓝,瞬发恢复700-900生命(独立冷却)
12190,昏睡药水,A-红蓝,昏睡12秒，恢复1200生命与法力
12662,恶魔符文,A-红蓝,牺牲生命恢复法力
13443,超强法力药水,A-红蓝,瞬发恢复900-1500法力
13444,特效法力药水,A-红蓝,瞬发恢复1350-2250法力
13446,特效治疗药水,A-红蓝,瞬发恢复1050-1750生命
14530,厚符文布绷带,A-红蓝,8秒内恢复2000点生命(急救)
18253,特效活力药水,A-红蓝,瞬发恢复1300-2600生命与法力
19307,奥特兰克厚符文布绷带,A-红蓝,8秒内恢复2000点生命(奥山急救)
20002,强效昏睡药水,A-红蓝,昏睡12秒，恢复2100生命与法力
20520,黑暗符文,A-红蓝,牺牲生命恢复法力
8410,土狼兴奋剂,A-非专业,力量+25，持续1小时(诅咒之地)
8411,肺片鸡尾酒,A-非专业,耐力+25，持续1小时(诅咒之地)
8412,厚甲蝎药粉,A-非专业,护甲+250，持续1小时(诅咒之地)
8423,大脑皮层混合饮料,A-非专业,智力+25，持续1小时(诅咒之地)
8424,砂囊口香糖,A-非专业,精神+25，持续1小时(诅咒之地)
20079,赞扎之魂,A-非专业,精神+50，耐力+50，持续2小时(赞达拉)
20080,赞扎之光,A-非专业,反射反弹伤害，持续2小时(赞达拉)
20081,赞扎之速,A-非专业,移动速度+20%，持续2小时(赞达拉)
